TRAFFIC,,,TOTAL,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#14,#14,#14,#14,#14
,,,,May 7,May 21,Jun 3,Jun 25,Jul 10,Jul 29,Aug 13,Aug 27,Sep 29,Oct 14,Oct 27,Nov 10,Nov 24,Dec 1,Jan 12,Jan 19,Jan 26,Mar 4,Mar 11
,julyvid_mro,0.07%,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,may_advid2,0.07%,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,octaividtest,0.07%,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,octadvid3hallenge,0.07%,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,vid7-aibroadmy,0.07%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,junevid1-aibroadmy,0.07%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,julygif1.thincae,0.03%,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,120228172632930095,0.03%,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,augpic1_1min,0.03%,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,120230301601130095,0.03%,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,120230301601480095,0.03%,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,120230301601230095,0.03%,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,120230301601200095,0.03%,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,augvid1,0.03%,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,120230301601220095,0.03%,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,novvd_season,0.03%,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,120238514227090095,0.03%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"
LEAD 
SOURCE",MIssing UTM,7.98%,309,10,16,19,14,12,18,4,3,8,7,10,3,12,6,6,0,4,122,35
